Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","CP_Elec_5x3.9",-67.500000,-100.600000,-90.000000,bottom
"C4","1n","C_0805_2012Metric",-72.200000,-101.500000,-90.000000,bottom
"R1","10k","R_0805_2012Metric",-74.700000,-101.500000,90.000000,bottom
"R2","10k","R_0805_2012Metric",-78.200000,-97.900000,90.000000,bottom
"C2","10n","C_0805_2012Metric",62.000000,-103.000000,-90.000000,top
"C3","10n","C_0805_2012Metric",68.100000,-103.000000,-90.000000,top
"C5","1n","C_0805_2012Metric",64.900000,-103.000000,-90.000000,top
"C6","1n","C_0805_2012Metric",81.200000,-94.400000,90.000000,top
"C7","10n","C_0805_2012Metric",74.600000,-103.000000,-90.000000,top
"C8","100n","C_0805_2012Metric",87.000000,-94.400000,90.000000,top
"C9","1n","C_0805_2012Metric",69.400000,-93.900000,180.000000,top
"C10","1n","C_0805_2012Metric",90.500000,-101.400000,-90.000000,top
"C11","330n","C_1206_3216Metric",87.900000,-101.300000,-90.000000,top
"C12","100n","C_0805_2012Metric",116.200000,-102.600000,-90.000000,top
"C13","1u","C_0805_2012Metric",110.000000,-102.600000,-90.000000,top
"C14","100n","C_0805_2012Metric",113.200000,-102.600000,-90.000000,top
"C15","4.7u","CP_Elec_4x3.9",100.900000,-102.700000,-90.000000,top
"C16","100n","C_0805_2012Metric",97.300000,-103.050000,-90.000000,top
"C17","22u","CP_Elec_4x5.4",105.800000,-102.800000,-90.000000,top
"D1","US1M","D_SMA",109.100000,-94.500000,0.000000,top
"J1","Conn_01x02_Female","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",117.150000,-95.100000,-90.000000,top
"J2","Conn_01x02_Female","PinHeader_1x02_P2.54mm_Vertical",94.000000,-101.300000,0.000000,top
"Q1","BF994S","SOT-143_Handsoldering",69.400000,-97.600000,180.000000,top
"Q2","BFR93A","SOT-323_SC-70",84.000000,-98.600000,90.000000,top
"R3","10M","R_0805_2012Metric",63.500000,-95.200000,-90.000000,top
"R4","1k3","R_0805_2012Metric",75.600000,-94.400000,90.000000,top
"R5","51","R_0805_2012Metric",71.300000,-103.000000,90.000000,top
"R6","22","R_0805_2012Metric",78.200000,-98.300000,180.000000,top
"R7","160","R_0805_2012Metric",80.600000,-103.200000,0.000000,top
"U1","L78L08_TO92","TO-92_Inline",101.200000,-96.700000,90.000000,top
