"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7,C6";"C_1206_3216Metric";2;"22u";;;
2;"R5";"R_0805_2012Metric";1;"22";;;
3;"C11,C1,C5,C3";"C_0805_2012Metric";4;"100n";;;
4;"U1";"SOT-223-3_TabPin2";1;"AMS1117";;;
5;"C17,C8,C14";"C_0805_2012Metric";3;"10n";;;
6;"R4";"R_0805_2012Metric";1;"1k3";;;
7;"Q1";"SOT-143";1;"BF994S";;;
8;"C18";"C_1206_3216Metric";1;"330n";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
10;"C12,C10,C16,C15,C9";"C_0805_2012Metric";5;"1n";;;
11;"C2";"C_1206_3216Metric";1;"1u";;;
12;"J1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02_Female";;;
13;"R2";"R_0805_2012Metric";1;"680";;;
14;"C4";"C_0805_2012Metric";1;"4.7u";;;
15;"R8";"R_0805_2012Metric";1;"10M";;;
16;"R9";"R_0805_2012Metric";1;"160";;;
17;"R1";"R_0805_2012Metric";1;"240";;;
18;"R7";"R_0805_2012Metric";1;"51";;;
19;"Q2";"SOT-323_SC-70";1;"BFR93A";;;
20;"D1";"D_SMA";1;"US1M";;;
21;"TP1";"TestPoint_Pad_3.0x3.0mm";1;"TestPoint_Probe";;;
22;"R3,R6";"R_0805_2012Metric";2;"10k";;;
23;"C13";"C_1206_3216Metric";1;"10u";;;
