Ref,Val,Package,PosX,PosY,Rot,Side
"D2","1N4148W","D_SOD-123",-113.000000,-93.250000,-90.000000,bottom
"D3","1N4148W","D_SOD-123",-120.000000,-106.750000,0.000000,bottom
"J3","UART","PinHeader_1x04_P2.54mm_Vertical",-104.050000,-96.000000,90.000000,bottom
"J4","SPI","PinHeader_1x06_P2.54mm_Vertical",-94.150000,-91.500000,-90.000000,bottom
"J5","TIMER","PinSocket_1x04_P2.54mm_Vertical",-104.300000,-106.725000,90.000000,bottom
"Q2","BC848","SOT-23",-80.250000,-100.750000,90.000000,bottom
"Q3","BC858","SOT-23",-117.000000,-112.250000,0.000000,bottom
"R8","1k","R_0805_2012Metric",-84.750000,-95.750000,-90.000000,bottom
"R10","10k","R_0805_2012Metric",-80.250000,-95.750000,180.000000,bottom
"R11","120","R_0805_2012Metric",-84.750000,-101.000000,-90.000000,bottom
"R12","10k","R_0805_2012Metric",-110.500000,-112.250000,-90.000000,bottom
"R13","1k","R_0805_2012Metric",-100.500000,-112.500000,180.000000,bottom
"R14","100","R_0805_2012Metric",-114.000000,-106.750000,0.000000,bottom
"R15","10k","R_0805_2012Metric",-105.250000,-112.500000,180.000000,bottom
"R16","360","R_1206_3216Metric",-74.750000,-101.750000,0.000000,bottom
"R17","360","R_1206_3216Metric",-77.700000,-118.700000,0.000000,bottom
"R18","470","R_1206_3216Metric",-59.750000,-99.750000,0.000000,bottom
"R19","39","R_1206_3216Metric",-53.000000,-99.750000,180.000000,bottom
"C1","220u","CP_Radial_D8.0mm_P3.50mm",75.417625,-65.860456,0.000000,top
"C2","100n","C_0805_2012Metric",68.820276,-55.860456,90.000000,top
"C3","100n","C_0805_2012Metric",83.070276,-56.610456,-90.000000,top
"C4","10u","CP_Radial_D5.0mm_P2.50mm",120.394888,-83.100000,0.000000,top
"C5","100u","CP_Radial_D5.0mm_P2.50mm",83.070276,-52.065569,90.000000,top
"C6","100n","C_0805_2012Metric",122.750000,-71.000000,-90.000000,top
"C7","47n","C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4",69.000000,-101.745000,90.000000,top
"C8","10n","C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4",54.955000,-93.900000,0.000000,top
"D1","1N4001","D_SOD-123",69.070276,-66.110456,180.000000,top
"D4","BZX84C12","D_SOD-523",70.700000,-72.500000,-90.000000,top
"F1","250mA","Fuse_2010_5025Metric",62.800000,-63.500000,90.000000,top
"J1","TERMISTOR","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",99.000000,-72.250000,-90.000000,top
"J2","POWER 12V","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",63.070276,-72.360456,-90.000000,top
"J6","SWITCH","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",99.500000,-100.700000,0.000000,top
"J7","LED1","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",101.000000,-61.550000,180.000000,top
"J8","LED2","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",120.000000,-61.500000,0.000000,top
"J9","BUZZER","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",118.980000,-99.950000,0.000000,top
"J10","240V AC","TE_826576-2_1x02_P3.96mm_Vertical",50.620000,-106.982500,0.000000,top
"J11","240V AC","TE_826576-2_1x02_P3.96mm_Vertical",50.520000,-116.382500,0.000000,top
"J12","LOAD","JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal",66.270000,-118.975000,0.000000,top
"Q1","Si4800BDY","SOIC-8_3.9x4.9mm_P1.27mm",87.000000,-66.250000,90.000000,top
"Q4","BT136-600","TO-220-3_Vertical",70.750000,-108.500000,180.000000,top
"R1","3k","R_0805_2012Metric",107.000000,-56.250000,180.000000,top
"R2","3k","R_0805_2012Metric",111.250000,-61.250000,-90.000000,top
"R3","3k","R_0805_2012Metric",106.750000,-60.000000,0.000000,top
"R4","3k","R_0805_2012Metric",110.587500,-65.750000,180.000000,top
"R5","3k","R_0805_2012Metric",103.750000,-67.500000,-90.000000,top
"R6","3k","R_0805_2012Metric",122.750000,-66.750000,-90.000000,top
"R7","47k","R_0805_2012Metric",88.750000,-73.000000,-90.000000,top
"R9","47k","R_0805_2012Metric",84.000000,-72.500000,180.000000,top
"RV1","10k","Potentiometer_Bourns_3299X_Horizontal",109.500000,-51.525000,180.000000,top
"U1","AMS1117-5.0","SOT-223-3_TabPin2",75.570276,-56.360456,0.000000,top
"U2","ATtiny45-20S","DIP-8_W7.62mm",118.050000,-68.950000,-90.000000,top
"U3","MOC3020M","DIP-6_W7.62mm",84.275000,-106.200000,-90.000000,top
