Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",123.000000,-100.580000,0.000000,top
"C2","100n","C_0805_2012Metric",122.990000,-108.140000,0.000000,top
"C3","100n","C_0805_2012Metric",123.000000,-115.890000,0.000000,top
"C4","100n","C_0805_2012Metric",123.000000,-131.960000,0.000000,top
"C5","100n","C_0805_2012Metric",137.890000,-84.040000,-90.000000,top
"C6","100n","C_0805_2012Metric",123.000000,-123.940000,0.000000,top
"C7","100n","C_0805_2012Metric",126.300000,-139.670000,180.000000,top
"C8","100n","C_0805_2012Metric",127.500000,-131.850000,180.000000,top
"C9","100n","C_0805_2012Metric",127.500000,-100.590000,180.000000,top
"C10","100n","C_0805_2012Metric",127.500000,-108.120000,180.000000,top
"C11","100n","C_0805_2012Metric",127.500000,-123.900000,180.000000,top
"C12","100n","C_0805_2012Metric",127.500000,-115.890000,180.000000,top
"C13","100n","C_0805_2012Metric",128.240000,-69.190000,-90.000000,top
"C14","100n","C_0805_2012Metric",124.420000,-70.430000,180.000000,top
"C15","100n","C_0805_2012Metric",141.990000,-70.420000,180.000000,top
"C16","100n","C_0805_2012Metric",137.360000,-70.460000,0.000000,top
"C17","100n","C_0805_2012Metric",143.680000,-81.080000,180.000000,top
"C18","100n","C_0805_2012Metric",134.300000,-85.230000,180.000000,top
"C19","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",140.050000,-83.208856,90.000000,top
"C20","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",130.331144,-89.090000,0.000000,top
"C21","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",132.640000,-73.358856,90.000000,top
"C22","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",129.520000,-66.148856,90.000000,top
"C23","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",121.450000,-72.180000,180.000000,top
"C24","22u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",140.960000,-72.731144,-90.000000,top
"C25","100n","C_0805_2012Metric",127.500000,-93.070000,180.000000,top
"C26","100n","C_0805_2012Metric",122.130000,-86.650000,90.000000,top
"C27","1u","C_0805_2012Metric",129.810000,-139.670000,180.000000,top
"C28","1u","C_0805_2012Metric",127.500000,-91.050000,0.000000,top
"C29","100n","C_0805_2012Metric",160.890000,-85.290000,0.000000,top
"C30","33u/10V","CP_Radial_Tantal_D4.5mm_P2.50mm",161.780000,-82.998856,90.000000,top
"C31","100n","C_0805_2012Metric",123.000000,-93.140000,180.000000,top
"C37","1u","C_0805_2012Metric",123.000000,-91.120000,180.000000,top
"C38","1u","C_0805_2012Metric",122.720000,-139.700000,180.000000,top
"D1","LL4148","D_MiniMELF",124.780000,-57.860000,0.000000,top
"F1","1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",156.770000,-83.070000,180.000000,top
"FB1","BLM21HE122SN1L","L_0805_2012Metric",119.400000,-85.780000,180.000000,top
"FB2","BLM21HE122SN1L","L_0805_2012Metric",119.370000,-83.250000,180.000000,top
"FB3","BLM21HE122SN1L","L_0805_2012Metric",119.400000,-80.680000,180.000000,top
"FB4","BLM21HE122SN1L","L_0805_2012Metric",143.730000,-83.000000,180.000000,top
"FB5","BLM21HE122SN1L","L_0805_2012Metric",119.630000,-92.320000,90.000000,top
"FB6","BLM21HE122SN1L","L_0805_2012Metric",122.970000,-89.210000,180.000000,top
"J1","PM254-1-03-W-8.5","PinHeader_1x03_P2.54mm_Horizontal",121.380000,-55.000000,90.000000,top
"J3","DZ254W-11-03-65","PinHeader_1x03_P2.54mm_Horizontal",137.380000,-55.000000,90.000000,top
"J4","Conn_02x09_Odd_Even","PinHeader_2x09_P2.54mm_Horizontal",115.480000,-95.920000,180.000000,top
"J5","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Horizontal",115.540000,-134.435000,180.000000,top
"R1","100K","R_0805_2012Metric",120.410000,-58.470000,90.000000,top
"R2","8K2","R_0805_2012Metric",128.890000,-58.410000,-90.000000,top
"SW1","XKB Connection SS15E01L5","XKB Connection SS15E01L5",106.630000,-60.250000,90.000000,top
"U1","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_5",125.410000,-96.780000,-90.000000,top
"U2","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_4",125.348000,-135.961500,-90.000000,top
"U3","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL",125.328000,-127.881500,-90.000000,top
"U4","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_3",125.390000,-104.260000,-90.000000,top
"U5","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_1",125.300000,-119.790000,-90.000000,top
"U6","TXU0104PWR","TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_2",125.330000,-111.920000,-90.000000,top
"U7","PICO","COMM_SMD_L51_0_W21_0_P2_54_SC0916",150.512500,-112.690000,-90.000000,top
"U11","AMS1117-1.8","SOT-223-3_TabPin2",123.270000,-65.000000,90.000000,top
"U12","AMS1117-2.5","SOT-223-3_TabPin2",138.650000,-65.000000,90.000000,top
"U13","AMS1117-3.3","SOT-223-3_TabPin2",133.217500,-79.720000,90.000000,top
