"Reference,""Qty"",""Value"",""DNP"",""Exclude from BOM"",""Exclude from Board"",""Footprint"",""Datasheet"""
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C25,C26,C29,C31,""22"",""100n"","""","""","""",""Capacitor_SMD:C_0805_2012Metric"",""http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf"""
"C27,C28,C37,C38,""4"",""1u"","""","""","""",""Capacitor_SMD:C_0805_2012Metric"",""http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf"""
"F1,""1"",""1A"","""","""","""",""Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"",""~"""
"J1,""1"",""PM254-1-03-W-8.5"","""","""","""",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""https://datasheet.lcsc.com/lcsc/2306091006_HCTL-PM254-1-03-W-8-5_C2897385.pdf"""
"J3,""1"",""DZ254W-11-03-65"","""","""","""",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""https://datasheet.lcsc.com/lcsc/2201121730_DEALON-DZ254W-11-03-65_C2935928.pdf"""
"J4,""1"",""HC-PZ254-13.8L-2x9PWA"","""","""","""",""Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Horizontal"",""https://www.lcsc.com/datasheet/C41376126.pdf"""
"J5,""1"",""HC-PZ254-13.8L-2x14PWA"","""","""","""",""Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Horizontal"",""https://www.lcsc.com/datasheet/C42163071.pdf"""
"R1,""1"",""100K"","""","""","""",""Resistor_SMD:R_0805_2012Metric"",""https://www.vishay.com/docs/20035/dcrcwe3.pdf"""
"R2,""1"",""8K2"","""","""","""",""Resistor_SMD:R_0805_2012Metric"",""https://www.bourns.com/docs/product-datasheets/crxxxxa.pdf"""
"SW1,""1"",""SS15E01L5"","""","""","""",""Przelaczniki:XKB Connection SS15E01L5"",""https://lcsc.com/datasheet/lcsc_datasheet_2110111930_XKB-Connection-SS15E01L5_C1121868.pdf"""
"U1,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_5"",""https://www.ti.com/cn/lit/gpn/txu0104"""
"U2,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_4"",""https://www.ti.com/cn/lit/gpn/txu0104"""
"U3,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL"",""https://www.ti.com/cn/lit/gpn/txu0104"""
"U4,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_3"",""https://www.ti.com/cn/lit/gpn/txu0104"""
"U5,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_1"",""https://www.ti.com/cn/lit/gpn/txu0104"""
"U6,""1"",""TXU0104PWR"","""","""","""",""jitx-design:TSSOP_14_L5_0_W4_4_P0_65_LS6_4_BL_2"",""https://www.ti.com/cn/lit/gpn/txu0104"""
