"Source:","C:\Users\Marcin\Documents\KiCad\Projekty\Zabezpieczenie UPC1237_ver_2\Zabezpieczenie_UPC1237_2\Zabezpieczenie_UPC1237_2.kicad_sch"
"Date:","13.12.2023 19:19:56"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","54"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","330u/10/16V","C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, small symbol","",""
"C2, C4","2","4.7u/10/16V","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol","",""
"C3","1","22n","C_Small","Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02","Unpolarized capacitor, small symbol","",""
"C5","1","47u/16V","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol","",""
"C6, C8, C10, C11","4","0.1u","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C7","1","47u/10/16","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol","",""
"C9","1","100u/40V","C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, small symbol","",""
"D1","1","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"D3","1","12V","D_Zener_Small","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","Zener diode, small symbol","",""
"D4, D5","2","LED_Small","LED_Small","LED_THT:LED_D5.0mm","Light emitting diode, small symbol","",""
"D6","1","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35","",""
"J1, J3","2","Conn_01x02","Conn_01x02","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Conn_01x03","Conn_01x03","Connector:FanPinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","Conn_01x04_Pin","Conn_01x04_Pin","Connector_JST:JST_NV_B04P-NV_1x04_P5.00mm_Vertical","Generic connector, single row, 01x04, script generated","",""
