Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_1210_3225Metric",-181.100000,-93.700000,180.000000,bottom
"C5","100n","C_1206_3216Metric",-179.300000,-109.800000,0.000000,bottom
"C9","1n","C_0805_2012Metric",-160.600000,-101.200000,-90.000000,bottom
"C10","470p","C_0805_2012Metric",-166.000000,-105.500000,180.000000,bottom
"C11","100n","C_0805_2012Metric",-158.500000,-101.200000,-90.000000,bottom
"C14","6.8n","C_0805_2012Metric",-171.200000,-97.300000,0.000000,bottom
"C15","1n","C_0805_2012Metric",-167.700000,-86.500000,90.000000,bottom
"R1","20","R_1206_3216Metric",-182.900000,-90.300000,-90.000000,bottom
"R2","1.5M","R_1210_3225Metric",-134.950000,-102.350000,180.000000,bottom
"R3","1.5M","R_1210_3225Metric",-127.050000,-102.350000,180.000000,bottom
"R4","100k","R_1210_3225Metric",-147.900000,-113.400000,0.000000,bottom
"R6","100","R_0805_2012Metric",-161.500000,-105.300000,180.000000,bottom
"R8","20","R_0805_2012Metric",-160.200000,-95.300000,90.000000,bottom
"R9","100","R_0805_2012Metric",-154.400000,-85.700000,-90.000000,bottom
"R10","348 / 1%","R_0805_2012Metric",-170.700000,-100.700000,180.000000,bottom
"R12","120k","R_1206_3216Metric",-173.900000,-99.250000,-90.000000,bottom
"R13","5.6k","R_0805_2012Metric",-163.300000,-95.300000,90.000000,bottom
"R14","4.7k","R_0805_2012Metric",-168.800000,-93.600000,180.000000,bottom
"R15","1k","R_0805_2012Metric",-168.400000,-96.500000,90.000000,bottom
"R16","30k","R_0805_2012Metric",-172.800000,-94.400000,0.000000,bottom
"U1","FAN6602R","SOT-23-6_Handsoldering",-164.650000,-102.600000,0.000000,bottom
