"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C16,C5";"C_1206_3216Metric";2;"47n";;;
2;"TP1,TP3,TP4,TP2";"Pin_D1.3mm_L11.0mm";4;"TestPoint_Small";;;
3;"D1";"Diode_Bridge_Vishay_GBL";1;"GBU4M";;;
4;"C8";"C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal";1;"2.2n";;;
5;"Q1";"TO-220F-3_Vertical";1;"STD7NM60N,IPA60R750E6XKSA1";;;
6;"C13";"CP_Radial_D5.0mm_P2.50mm";1;"22u";;;
7;"C4";"CP_Radial_D8.0mm_P3.50mm";1;"470u / 16V";;;
8;"T1";"Transf_FT1201500SC";1;"Transf_FT1201500SC";;;
9;"D4";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
10;"U3";"TO-92_Inline";1;"TL431LP";;;
11;"D6,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
12;"FL1";"Fitr_EMI_FA-N12W1051-REG-1";1;"Filter_EMI_LL";;;
13;"C12";"CP_Radial_D5.0mm_P2.50mm";1;"4.7u";;;
14;"R7";"R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical";1;"0.43 / 1W";;;
15;"D2";"TO-220-3_Vertical";1;"20S100CT";;;
16;"C6";"CP_Radial_D13.0mm_P7.50mm";1;"82u";;;
17;"C2";"C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3";1;"0.33u";;;
18;"FL2";"Filtr_EMI_toroid";1;"Filter_EMI_LL_1423";;;
19;"U2";"DIP-4_W7.62mm";1;"PC817";;;
20;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"0";;;
21;"TH1";"C_Disc_D3.4mm_W2.1mm_P2.50mm";1;"100k";;;
22;"F1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical";1;"2A";;;
23;"RV1";"RV_Disc_D12mm_W3.9mm_P7.5mm";1;"471";;;
24;"C7";"CP_Radial_D10.0mm_P3.50mm";1;"680u/16V";;;
25;"C3";"C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal";1;"1n";;;
26;"";"";1;"";;;
27;"D3";"D_DO-41_SOD81_P15mm_Horizontal";1;"1N4007";;;
28;"R2,R3";"R_1210_3225Metric";2;"1.5M";;;
29;"C1";"C_1210_3225Metric";1;"1n";;;
30;"R12";"R_1206_3216Metric";1;"120k";;;
31;"R16";"R_0805_2012Metric";1;"30k";;;
32;"R8";"R_0805_2012Metric";1;"20";;;
33;"R6,R9";"R_0805_2012Metric";2;"100";;;
34;"C15,C9";"C_0805_2012Metric";2;"1n";;;
35;"R15";"R_0805_2012Metric";1;"1k";;;
36;"R14";"R_0805_2012Metric";1;"4.7k";;;
37;"R1";"R_1206_3216Metric";1;"47";;;
38;"C10";"C_0805_2012Metric";1;"470p";;;
39;"R13";"R_0805_2012Metric";1;"5.6k";;;
40;"C11";"C_0805_2012Metric";1;"100n";;;
41;"C14";"C_0805_2012Metric";1;"6.8n";;;
42;"U1";"SOT-23-6_Handsoldering";1;"FAN6602R";;;
43;"R4";"R_1210_3225Metric";1;"100k";;;
44;"R10";"R_0805_2012Metric";1;"348 / 1%";;;
